IDX	,	ID	,	FORM_NAME	,	TEXT_KOREA	,	TEXT_CHINA	,	TEXT_ENGLISH	,	TEXT_VIETNAM
120	,	BtnDescriptionChangeSameModel	,	CDialogLossCode	,	동품종_변경	,	CHANGE_SAME_MODEL	,	CHANGE_SAME_MODEL	,	Thay đổi loại hình sản phẩm giống nhau ( CHANGE_SAME_MODEL )
121	,	BtnDescriptionChangeDifferentMode	,	CDialogLossCode	,	이품종_변경	,	CHANGE_DIFFERENT_MODEL	,	CHANGE_DIFFERENT_MODEL	,	Thay đổi loại hình sản phẩm khác nhau ( CHANGE_DIFFERENT_MODEL )
122	,	BtnDescriptionChangeMaterial	,	CDialogLossCode	,	자재_교체	,	CHANGE_MATERIAL	,	CHANGE_MATERIAL	,	Thay đổi NVL ( CHANGE_MATERIAL )
123	,	BtnDescriptionDownMaterial	,	CDialogLossCode	,	자재_DOWN	,	DOWN_MATERIAL	,	DOWN_MATERIAL	,	DOWN NVL ( DOWN_MATERIAL )
124	,	BtnEqpState	,	CDialogLossCode	,	DOWN	,	DOWN	,	DOWN	,	DOWN
125	,	BtnConfirm	,	CDialogLossCode	,	CONFIRM	,	CONFIRM	,	CONFIRM	,	CONFIRM
126	,	BtnOK	,	CDialogMessage	,	확인	,	OK	,	OK	,	OK
127	,	BtnYes	,	CDialogMessage	,	예	,	YES	,	YES	,	YES
128	,	BtnNo	,	CDialogMessage	,	아니오	,	NO	,	NO	,	NO
129	,	TextBoxTitleAlarmTypeInformation	,	CDialogMessage	,	INFORMATION	,	INFORMATION	,	INFORMATION	,	INFORMATION
130	,	TextBoxTitleAlarmTypeWarning	,	CDialogMessage	,	WARNING	,	WARNING	,	WARNING	,	WARNING
131	,	TextBoxTitleAlarmTypeAlarm	,	CDialogMessage	,	ALARM	,	ALARM	,	ALARM	,	ALARM
132	,	TextBoxTitleAlarmTypeInterlock	,	CDialogMessage	,	INTERLOCK	,	INTERLOCK	,	INTERLOCK	,	INTERLOCK
133	,	TextBoxTitleAlarmTypeQuestion	,	CDialogMessage	,	QUESTION	,	QUESTION	,	QUESTION	,	QUESTION
134	,	TextBoxTitleAlarmTypeMotor	,	CDialogMessage	,	MOTOR	,	MOTOR	,	MOTOR	,	MOTOR
135	,	TextBoxTitleAlarmTime	,	CDialogMessage	,	시간	,	TIME	,	TIME	,	Thời gian ( TIME )
136	,	TextBoxTitleAlarmCode	,	CDialogMessage	,	코드	,	CODE	,	CODE	,	Mã ( CODE )
137	,	TextBoxTitleAlarmObject	,	CDialogMessage	,	객체	,	OBJECT	,	OBJECT	,	Vật thể ( OBJECT )
138	,	TextBoxTitleAlarmPosition	,	CDialogMessage	,	위치	,	POSITION	,	POSITION	,	Vị trí 
139	,	BtnTitleAlarmDescription	,	CDialogMessage	,	메시지	,	MESSAGE	,	MESSAGE	,	MESSAGE
140	,	BtnTitleAlarmTime	,	CFormAlarm	,	발생 시간	,	OCCURRED TIME	,	OCCURRED TIME	,	Thời gian phát sinh
141	,	BtnTitleAlarmPart	,	CFormAlarm	,	위치	,	PART	,	PART	,	Vị trí 
